name,cuisine,budget,location,dietary_tags,description,rating
Wind & Water,chinese,mid,usmanpura,vegetarian;non_vegetarian,Chinese restaurant at Fortune Landmark on Ashram Road in Usmanpura.,
Prince Restaurant Naranpura,multi_cuisine,budget,naranpura,vegetarian;non_vegetarian,Multi-cuisine restaurant in Naranpura serving Punjabi Chinese and South Indian food since 1992.,3.9
Rangoli Food Restaurant,multi_cuisine,budget,naranpura,vegetarian;non_vegetarian,Restaurant in Naranpura.,
Honour,multi_cuisine,mid,naranpura,vegetarian;non_vegetarian,Restaurant in Naranpura.,
20 Twenty Cafe & Restro,cafe,mid,memnagar,vegetarian;non_vegetarian,Cafe and restaurant on the Memnagar-Ghatlodia border.,
Java Delight,cafe,budget,ghatlodia,vegetarian;non_vegetarian,Cafe in Ghatlodia.,
The Frying Pan Restro Cafe,cafe,mid,memnagar,vegetarian;non_vegetarian,Restro-cafe in Memnagar.,
Cafe Where We Meet,cafe,mid,memnagar,vegetarian;non_vegetarian,Cafe in Memnagar.,
Momo Magic Cafe,chinese,budget,ghatlodia,vegetarian;non_vegetarian,Momos and Chinese food cafe in Ghatlodia.,
VP The Cafe,cafe,mid,ghatlodia,vegetarian;non_vegetarian,Cafe in Ghatlodia.,
07 Cafe Club,cafe,mid,ghatlodia,vegetarian;non_vegetarian,Cafe in Ghatlodia.,
Vaishnodevi Gathiya,snacks,budget,vaishnodevi_circle,vegetarian,Gathiya and Gujarati snacks shop at Vaishnodevi Circle.,
Banaswadi Restaurant,multi_cuisine,mid,vaishnodevi_circle,vegetarian;non_vegetarian,Restaurant near SP Ring Road at Vaishnodevi Circle.,
Parampara,multi_cuisine,mid,vaishnodevi_circle,vegetarian;non_vegetarian,Restaurant at Vaishnodevi Circle.,
The Hunger Point,fast_food,budget,vaishnodevi_circle,vegetarian;non_vegetarian,Fast-food outlet at Vaishnodevi Circle.,
V Son Cafe & Restro,cafe,mid,vaishnodevi_circle,vegetarian;non_vegetarian,Cafe and restro at Vaishnodevi Circle.,
Point Cafe,cafe,budget,vaishnodevi_circle,vegetarian;non_vegetarian,Cafe at Vaishnodevi Circle.,
Affordable Fast Food,fast_food,budget,isanpur,vegetarian;non_vegetarian,Fast-food outlet in Isanpur.,
