name,cuisine,budget,location,dietary_tags,description,rating
Street Chinese & Momos,chinese,budget,bodakdev,vegetarian;non_vegetarian,Casual Indo-Chinese and momos joint in Bodakdev.,
Itameshi,japanese_italian,premium,thaltej,vegetarian;non_vegetarian,Japanese-Italian fusion rooftop restaurant on Sindhu Bhavan Road.,
The Penthouse,multi_cuisine,premium,prahladnagar,vegetarian;non_vegetarian,Rooftop multi-cuisine restaurant in Prahlad Nagar.,
AT20,italian,premium,thaltej,vegetarian;non_vegetarian,Italian rooftop restaurant at Grand Eulogia Hotel in Thaltej.,
Cafe Bluez,multi_cuisine,mid,cg_road,vegetarian;non_vegetarian,Rooftop multi-cuisine cafe near Lal Bungalow on CG Road.,
Brewich Rooftop Cafe,cafe,mid,chandkheda,vegetarian,Rooftop cafe known for coffee and brunch on Visat Highway.,
Cafe Patio,cafe,mid,thaltej,vegetarian;non_vegetarian,Multi-cuisine and dessert cafe near Zydus Hospital on SG Highway.,
The Oriental Grill,japanese,premium,sg_highway,vegetarian;non_vegetarian,Japanese and sushi restaurant inside the Hyatt on SG Highway.,
BentoB,japanese,mid,sindhu_bhavan_road,vegetarian;non_vegetarian,Japanese diner in the ONE42 complex serving bento rice bowls and ramen.,
Noboru,japanese_korean,mid,navrangpura,vegetarian;non_vegetarian,Casual Japanese and Korean diner inside Ahmedabad University.,
Fortune Cookies,bakery,budget,ashram_road,vegetarian,Bakery inside the Fortune Landmark hotel on Ashram Road.,
Barbeque Nation,multi_cuisine,premium,multiple_locations,vegetarian;non_vegetarian,Live-grill buffet restaurant chain with outlets in Ahmedabad.,
Simran Farm,mughlai,mid,airport_road,non_vegetarian,Mughlai and tawa-cuisine restaurant near Ahmedabad airport.,
